Title,Company,Deadline,Location,Link
Հաշվապահ-հաշվետար,Հայաստանում ֆրանսիական համալսարան/ French University in Armenia (UFAR),02 July 2020,Yerevan,https://staff.am/en/hasvapah-hasvetar-8
Administrative Officer,World Vision Armenia,30 June 2020,Yerevan,https://staff.am/en/administrative-officer
Մարքեթինգի բաժնի պատասխանատու,ASEDL LLC,19 July 2020,Yerevan,https://staff.am/en/marketingi-bazni-patasxanatu-6
Senior QA Automation Engineer,Polixis,19 July 2020,Yerevan,https://staff.am/en/senior-qa-automation-engineer-14
PHP / Laravel developer,X-TECH Creative Studio,19 July 2020,Yerevan,https://staff.am/en/php-laravel-developer-36
Junior Database Administrator,ACBA-CREDIT AGRICOLE BANK CJSC,19 July 2020,Yerevan,https://staff.am/en/junior-database-administrator-6
Android developer,All.me LLC,02 July 2020,Yerevan,https://staff.am/en/android-developer-243
Mid React.js developer,Cypress,19 July 2020,Yerevan,https://staff.am/en/mid-reactjs-developer-7
Web & Graphic Designer,ONEX LLC,19 July 2020,Yerevan,https://staff.am/en/web-graphic-designer
Senior Android Developer (m/f/d) Pilot,TeamViewer Armenia,19 July 2020,Yerevan,https://staff.am/en/senior-android-developer-mfd-pilot-12
Senior C++ Engineer (m/f/d) IoT,TeamViewer Armenia,19 July 2020,Yerevan,https://staff.am/en/senior-c-engineer-mfd-iot-9
German teacher,Հայաստանում Եվրոպական Վարժարան հիմնադրամ,18 July 2020,Yerevan,https://staff.am/en/german-teacher
Учитель русского языка,Հայաստանում Եվրոպական Վարժարան հիմնադրամ,18 July 2020,Yerevan,https://staff.am/en/ucitel-russkogo-azyka-3
Business Process Specialist,Digitain ,18 July 2020,Yerevan,https://staff.am/en/business-process-specialist-15
Financial Internal Auditor,Digitain ,18 July 2020,Yerevan,https://staff.am/en/financial-internal-auditor-15
Հաշվետար,EmexAuto,18 July 2020,Yerevan,https://staff.am/en/hasvetar-48
Պայմանագրային բաժնի մասնագետ,«Արմենիան Լիզինգ Քամփնի» ՈՒՎԿ ՓԲԸ,17 July 2020,Yerevan,https://staff.am/en/paymanagrayin-bazni-masnaget
Senior Backend Engineer,PicsArt,30 June 2020,Yerevan,https://staff.am/en/senior-backend-engineer-1
 accountant,Constant Consulting,30 June 2020,Yerevan,https://staff.am/en/accountant-460
Full stack web developer,SmartSoft LLC,18 July 2020,Yerevan,https://staff.am/en/full-stack-web-developer-89
Senior iOS/MacOS Developer (m/f/d) Pilot,TeamViewer Armenia,18 July 2020,Yerevan,https://staff.am/en/senior-iosmacos-developer-mfd-pilot-3
Senior .Net Developer,Fast Shift LLC,18 July 2020,Yerevan,https://staff.am/en/senior-net-developer-152
Junior Business Process Specialist,SoftConstruct,02 July 2020,Yerevan,https://staff.am/en/junior-business-process-manager
IT Business Analyst ,Webb Fontaine Holding LLC,18 July 2020,Yerevan,https://staff.am/en/it-business-analyst-39
Customer care,SHIPEX,18 July 2020,Yerevan,https://staff.am/en/customer-care-5
Senior Go Developer (Backend),ООО ГК В приоритете,18 July 2020,Yerevan,https://staff.am/en/backend-razrabotcik-5
Support Specialist,Margasoft Corp,18 July 2020,Yerevan,https://staff.am/en/support-specialist-10
German Speaking Sales Representative,Envirotech,18 July 2020,Yerevan,https://staff.am/en/german-speaking-sales-representative-1
Software Engineer,Vehere,18 July 2020,Yerevan,https://staff.am/en/software-engineer-65
Marketing Manager,Synergy International Systems,18 July 2020,Yerevan,https://staff.am/en/marketing-manager-134
Financial Analyst,The LOFT,18 July 2020,Yerevan,https://staff.am/en/financial-analyst-68
Android Developer-Consultаnt,All.me LLC,30 June 2020,Yerevan,https://staff.am/en/android-developer-consultant
Front-End developer,WEBIHUB,15 July 2020,Yerevan,https://staff.am/en/senior-htmlcss-developer-1
Mid C++ Developer ,Softhenge,18 July 2020,Yerevan,https://staff.am/en/mid-c-developer
Wine loving servers,In Vino,18 July 2020,Yerevan,https://staff.am/en/wine-loving-servers-7
.Net software developer,Canar,18 July 2020,Yerevan,https://staff.am/en/net-software-developer-12
Marketing Manager,ABC Pharmacia,18 July 2020,Yerevan,https://staff.am/en/marketing-manager-133
Product Manager,Seven Smarts LLC,18 July 2020,Yerevan,https://staff.am/en/product-manager-152
Medical Representative,ABC Pharmacia,18 July 2020,Yerevan,https://staff.am/en/medical-representative-36
Commercial director,Atenk Ltd,12 July 2020,Yerevan,https://staff.am/en/commercial-director-22
Group Financial Reporting Specialist,SoftConstruct,06 July 2020,Yerevan,https://staff.am/en/group-financial-reporting-specialist-10
Financial Risks Specialist,Digitain ,17 July 2020,Yerevan,https://staff.am/en/financial-risks-specialist-12
Marketing Manager (Sweden),SoftConstruct,01 July 2020,Yerevan,https://staff.am/en/marketing-manager-130
Partner Support Specialist,Digitain ,17 July 2020,Yerevan,https://staff.am/en/partner-support-specialist-1
Turkish Speaking Partner Service Specialist,Digitain ,17 July 2020,Yerevan,https://staff.am/en/turkish-speaking-partner-service-specialist-2
IT Project Manager ,ՋՈՅՆԹՈՒՀԱՅՐ ,17 July 2020,Yerevan,https://staff.am/en/it-project-manager-80
iOS developer,Varmtech,17 July 2020,Yerevan,https://staff.am/en/ios-developer-223
"JavaScript, MERN Stack Developer",Varmtech,17 July 2020,Yerevan,https://staff.am/en/javascript-mern-stack-developer-1
Finance Assistant,Holiday Inn Express Yerevan,17 July 2020,Yerevan,https://staff.am/en/finance-assistant-7
Back Office Specialist,ACBA-CREDIT AGRICOLE BANK CJSC,17 July 2020,Yerevan,https://staff.am/en/back-office-specialist-27
Customer Support Agent – English Languages (Mixed shifts),SoftConstruct,30 June 2020,Yerevan,https://staff.am/en/customer-support-agent-english-languages-mixed-shifts-1
Senior Graphic Designer,Digitain ,17 July 2020,Yerevan,https://staff.am/en/senior-graphic-designer-31
Ֆայլ պատրաստող մասնագետ,GAT Cutting LLC,17 July 2020,Yerevan,https://staff.am/en/fayl-patrastog-masnaget
Accounting Manager ,Գրանթ Թորնթոն ՓԲԸ,06 July 2020,Yerevan,https://staff.am/en/accounting-manager-6
Corporate Affairs and PR Manager ,Dexatel ,17 July 2020,Yerevan,https://staff.am/en/corporate-affairs-and-pr-manager
Senior Angular Developer,HackTech LLC,17 July 2020,Yerevan,https://staff.am/en/senior-angular-developer-7
iOS Developer,All.me LLC,30 June 2020,Yerevan,https://staff.am/en/ios-developer-221
Head of Card Issuance Unit,ID Bank CJSC,30 June 2020,Yerevan,https://staff.am/en/karteri-togarkman-bazni-gekavar
Logistics Operator,Aras Food LLC,13 July 2020,Yerevan,https://staff.am/en/logistics-operator-6
Լawyer,SmartCredit UCO LLC,17 July 2020,Yerevan,https://staff.am/en/lawyer-79
Junior CRM Specialist,Digitain ,17 July 2020,Yerevan,https://staff.am/en/junior-crm-specialist
Front-end Deleloper,Aratours Travel Services LLC,16 July 2020,Yerevan,https://staff.am/en/web-designer-71
User Success Specialist,PicsArt,30 June 2020,Yerevan,https://staff.am/en/user-success-specialist
Sales Manager,ERC Distribution Georgia,16 July 2020,Yerevan,https://staff.am/en/sales-manager-404
Sales Consultant,Consel LLC,16 July 2020,Yerevan,https://staff.am/en/sales-consultant-274
Android Developer,Soft Vision LLC,16 July 2020,Yerevan,https://staff.am/en/android-developer-240
Պահեստապետի օգնական,Atenk Ltd,30 June 2020,Abovyan,https://staff.am/en/pahestapeti-ognakan-23
Բժշկասոցիալական փորձաքննության գրասենյակի բժշկասոցիալական փորձաքննական բաժինների բժիշկ-փորձագետ ,ՀՀ աշխատանքի և սոցիալական հարցերի նախարարություն,31 July 2020,Yerevan,https://staff.am/en/bzskasocialakan-porjaknnutyan-grasenyaki-bzskasocialakan-porjaknnakan-bazinneri-bzisk-porjaget-2
Backend Developer,Exsol LLC,16 July 2020,Yerevan,https://staff.am/en/backend-developer-31
Front-end Developer,Exsol LLC,16 July 2020,Yerevan,https://staff.am/en/front-end-developer-358
Product Owner,Synergy International Systems,16 July 2020,Yerevan,https://staff.am/en/product-owner-136
PR & SALES Manager,Decart studio,16 July 2020,Yerevan,https://staff.am/en/pr-sales-manager-4
Platform Engineer ,DISQO,16 July 2020,Yerevan,https://staff.am/en/platform-engineer-wgolang-2
"Engineering Manager, Mobile",DISQO,16 July 2020,Yerevan,https://staff.am/en/engineering-manager-mobile-6
Senior Full Stack Java Web Developer,Polixis,16 July 2020,Yerevan,https://staff.am/en/full-stack-java-developer
Հասարակայնության հետ կապերի մասնագետ,EcoVille LLC,05 July 2020,Yerevan,https://staff.am/en/hasarakaynutyan-het-kaperi-masnaget
Senior Frontend Engineer (HTML/CSS),PicsArt,30 June 2020,Yerevan,https://staff.am/en/senior-frontend-engineer-htmlcss
Full-Stack Developer ,ՋՈՅՆԹՈՒՀԱՅՐ ,16 July 2020,Yerevan,https://staff.am/en/full-stack-developer-117
Նախագծի ղեկավարի օգնական,Atenk Ltd,30 June 2020,Yerevan,https://staff.am/en/naxagci-gekavari-ognakan-7
Նախագծային բաժնի ղեկավար,«Վաելկոն» ՍՊԸ,16 July 2020,Yerevan,https://staff.am/en/naxagcayin-bazni-gekavar-2
"Ջերմագազամատակարարման և օդափոխության (HVAC) ճարտարագետ, նախագծող",«Վաելկոն» ՍՊԸ,16 July 2020,Yerevan,https://staff.am/en/jermagazamatakararman-ev-odapoxutyan-hvac-cartaraget-naxagcog
Unity 3D Team Lead,Digitain ,16 July 2020,Yerevan,https://staff.am/en/unity-3d-team-lead-1
Projects Implementation Manager,Digitain ,12 July 2020,Yerevan,https://staff.am/en/projects-implementation-manager-6
B2B Account Manager,Digitain ,12 July 2020,Yerevan,https://staff.am/en/b2b-account-manager
Full Stack Web/WordPress Developer,NOORLOGIC LLC,15 July 2020,Yerevan,https://staff.am/en/full-stack-web-developer-86
Support Specialist (With knowledge of Portuguese),All.me LLC,30 June 2020,Yerevan,https://staff.am/en/support-specialist-with-knowledge-of-portuguese-1
IT Technical Support Specialist,Digitain ,15 July 2020,Yerevan,https://staff.am/en/it-technical-support-specialist-22
Technical Writer,SoftConstruct,15 July 2020,Yerevan,https://staff.am/en/technical-content-writer-3
Production manager,ASEDL LLC,15 July 2020,Yerevan,https://staff.am/en/production-manager-16
Reporting Analyst,WEBIHUB,15 July 2020,Yerevan,https://staff.am/en/reporting-analyst-18
Senior Customer Care Specialist,Krisp,15 July 2020,Yerevan,https://staff.am/en/senior-customer-care-specialist-37
Sales Executive ,Synergy International Systems,15 July 2020,Yerevan,https://staff.am/en/sales-executive-11
Back-end Developer,Cypress,12 July 2020,Yerevan,https://staff.am/en/senior-nodejs-developer-60
Illustrator,Renderforest,15 July 2020,Yerevan,https://staff.am/en/illustrator-27
Chief Operating Officer,Armenian Code Academy ,15 July 2020,Yerevan,https://staff.am/en/chief-operating-officer-6
 Kubernetes/Spring Engineer,Rockbite Games,01 July 2020,Yerevan,https://staff.am/en/kubernetesspring-engineer
 Technical Support Specialist,BlueNet,15 July 2020,Yerevan,https://staff.am/en/technical-support-specialist-108
Project Coordinator,Armenian Code Academy ,15 July 2020,Yerevan,https://staff.am/en/project-coordinator-36
Junior Digital Marketing Specialist,eworld,15 July 2020,Yerevan,https://staff.am/en/junior-digital-marketing-specialist-4
Senior Software Tester ,Macadamian AR,15 July 2020,Yerevan,https://staff.am/en/senior-software-tester-1
Senior Software Developer,Macadamian AR,15 July 2020,Yerevan,https://staff.am/en/senior-software-developer-24
Media Planning Specialist,Digitain ,01 July 2020,Yerevan,https://staff.am/en/media-planning-specialist-5
Customer Support Agent – Swedish Languages (Mixed shifts),SoftConstruct,30 June 2020,Yerevan,https://staff.am/en/customer-support-agent-swedish-languages-mixed-shifts-1
Mid/Senior PHP Developer,WeemTech,15 July 2020,Yerevan,https://staff.am/en/midsenior-php-developer
Customer Support Agent – German Language (Mixed shifts),SoftConstruct,30 June 2020,Yerevan,https://staff.am/en/customer-support-agent-german-language-mixed-shifts-9
Վաճառքի տնօրեն,Flash,15 July 2020,Yerevan,https://staff.am/en/vacarki-tnoren-4
Վարկային մասնագետ Սիսիան մասնաճյուղում,SEF International UCO ,30 June 2020,Sisian,https://staff.am/en/varkayin-masnaget-sisian-masnacyugum-1
1C System Developer,IMEX GROUP,15 July 2020,Yerevan,https://staff.am/en/1c-system-developer-3
Տարածքային վաճառքի մենեջեր,360° ՇԻՆԲԱԶԱ,15 July 2020,Yerevan,https://staff.am/en/tarackayin-vacarki-menejer-1
Kotlin Software Engineer,Essential,15 July 2020,Yerevan,https://staff.am/en/senior-java-software-engineer-67
Շինարարության և գույքային ապահովման կազմակերպման պատասխանատու ,Digitain ,15 July 2020,Yerevan,https://staff.am/en/sinararutyan-ev-guykayin-apahovman-kazmakerpman-patasxanatu
Senior .NET Developer,VOLO,12 July 2020,Yerevan,https://staff.am/en/senior-net-developer-149
Web developer,IMEX GROUP,15 July 2020,Yerevan,https://staff.am/en/web-developer-104
Assistant Project Manager,SoftConstruct,30 June 2020,Yerevan,https://staff.am/en/assistant-project-manager-4
Digital Marketing Specialist ,WIC WorldCom International ,14 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-210
User Acquisition Manager,Zoomerang,14 July 2020,Yerevan,https://staff.am/en/user-acquisition-manager
Digital Marketing Specialist,Zoomerang,14 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-207
SMM specialist,Zoomerang,14 July 2020,Yerevan,https://staff.am/en/smm-specialist-327
Senior Front-End Engineer,Ultralabs AM,13 July 2020,Yerevan,https://staff.am/en/senior-front-end-engineer-15
Lead Software Engineer,Ultralabs AM,13 July 2020,Yerevan,https://staff.am/en/lead-software-engineer-7
Telephone Survey Specialist,Adjarabet.am,30 June 2020,Yerevan,https://staff.am/en/telephone-survey-specialist-6
Customer Retention Manager,Adjarabet.am,15 July 2020,Yerevan,https://staff.am/en/casino-crm-9
 Team Manager (m/f/d) Remote Management,TeamViewer Armenia,13 July 2020,Yerevan,https://staff.am/en/team-manager-mfd-remote-management
Full stack developer (Laravel+Vue.JS),Algorithm Solutions LLC,12 July 2020,Yerevan,https://staff.am/en/full-stack-developer-laravelvuejs
Chief Accountant,՞Հիմա՞ ՈՒՎԿ ՍՊԸ,01 July 2020,Yerevan,https://staff.am/en/chief-accountant-81
Technical Designer,Digitain ,12 July 2020,Yerevan,https://staff.am/en/technical-designer-10
Customer Support Agent – Ukrainian Language (Mixed shifts),SoftConstruct,30 June 2020,Yerevan,https://staff.am/en/customer-support-agent-ukrainian-language-mixed-shifts-1
Head of transport department,IMEX GROUP,12 July 2020,Yerevan,https://staff.am/en/head-of-transport-department-1
Senior Product Designer,PicsArt,30 June 2020,Yerevan,https://staff.am/en/senior-product-designer-4
Ընդունարանի աշխատակից,Medline Clinic LLC,12 July 2020,Yerevan,https://staff.am/en/ndunarani-asxatakic-8
CFO ,Haypost CJSC,12 July 2020,Yerevan,https://staff.am/en/cfo-7
Customer Care Manager,Haypost CJSC,12 July 2020,Yerevan,https://staff.am/en/customer-care-manager-2
Ֆինանսական վերլուծաբան,Yerevan Chocolate Company CJSC,12 July 2020,Yerevan,https://staff.am/en/finansakan-verlucaban-25
Technical Support Engineer ,National Instruments AM LLC,12 July 2020,Yerevan,https://staff.am/en/technical-support-engineer-40
Հաշվապահ,Անդակո ՍՊԸ,12 July 2020,Yerevan,https://staff.am/en/hasvapah-229
Seroond Schools Project Lead,Teach For Armenia,30 June 2020,Ijevan,https://staff.am/en/seroond-schools-project-lead
Senior IT Monitoring Specialist,Digitain ,12 July 2020,Yerevan,https://staff.am/en/senior-it-monitoring-specialist-21
Senior DevOps Engineer ,Digitain ,12 July 2020,Yerevan,https://staff.am/en/senior-devops-engineer-37
Front End Developer (Mobile) ,Telcell CJSC,12 July 2020,Yerevan,https://staff.am/en/front-end-developer-mobile
.Net Developer,RedKiteLLC,12 July 2020,Yerevan,https://staff.am/en/net-developer-142
Front End Developer (ATM Terminals),Telcell CJSC,12 July 2020,Yerevan,https://staff.am/en/front-end-developer-atm-terminals
Building Permit Technician,California Permits ,11 July 2020,Yerevan,https://staff.am/en/building-permit-technician-2
Marketing Specialist,California Permits ,11 July 2020,Los Angeles,https://staff.am/en/marketing-specialist-211
Sales Agent,Reload Freight,11 July 2020,Yerevan,https://staff.am/en/sales-agent-18
Client Success Representative,MoveCo Solutions Inc,11 July 2020,Yerevan,https://staff.am/en/client-success-representative-4
Customer Service Specialist (Meghri branch),ACBA-CREDIT AGRICOLE BANK CJSC,30 June 2020,Meghri,https://staff.am/en/customer-service-specialist-71
Միջազգային բեռնափոխադրումների մենեջեր,Fairyland Group,11 July 2020,Yerevan,https://staff.am/en/mijazgayin-bernapoxadrumneri-menejer-1
SMM Specialist,Haypost CJSC,11 July 2020,Yerevan,https://staff.am/en/smm-specialist-325
UI/UX designer ,Fast Shift LLC,11 July 2020,Yerevan,https://staff.am/en/uiux-designer-386
Senior Database Administrator,Ucom CJSC,11 July 2020,Yerevan,https://staff.am/en/senior-database-administrator-6
Office coordinator, Children of Armenia Charitable Fund,30 June 2020,Yerevan,https://staff.am/en/office-coordinator-6
Full Stack Developer,ModelManagement,11 July 2020,Yerevan,https://staff.am/en/full-stack-developer-114
Իրավաբան,Digitain ,11 July 2020,Yerevan,https://staff.am/en/iravaban-71
Import Specialist,Մեգա Ֆուդ ՍՊԸ,11 July 2020,Yerevan,https://staff.am/en/import-specialist-28
Product Development Manager,Digitain ,11 July 2020,Yerevan,https://staff.am/en/product-development-manager
Cashier,Black Star Burger Armenia,11 July 2020,Yerevan,https://staff.am/en/chief-head-cook
"Business Intelligence Engineer, Healthcare Communications Solutions",DataArt Armenia,30 June 2020,Yerevan,https://staff.am/en/business-intelligence-engineer-healthcare-communications-solutions
Մոնտաժող,Tert.am,30 June 2020,Yerevan,https://staff.am/en/montazog-4
Հաշվապահ,Digitain ,01 July 2020,Yerevan,https://staff.am/en/hasvapah-227
Վաճառող խորհրդատու,360° ՇԻՆԲԱԶԱ,11 July 2020,Yerevan,https://staff.am/en/vacarog-xorhrdatu-68
Գանձապահ,360° ՇԻՆԲԱԶԱ,11 July 2020,Yerevan,https://staff.am/en/ganjapah-36
Business Development Manager,WIC WorldCom International ,10 July 2020,Yerevan,https://staff.am/en/business-development-manager-41
Narrative Designer / Screenwriter,Playrix AM,10 July 2020,Yerevan,https://staff.am/en/narrative-designer-screenwriter
3D Generalist,Digitain ,10 July 2020,Yerevan,https://staff.am/en/3d-generalist
Game Designer / Level Designer ,Playrix AM,10 July 2020,Yerevan,https://staff.am/en/game-designer-level-designer
Customer Support Specialist,WIC WorldCom International ,10 July 2020,Yerevan,https://staff.am/en/customer-support-specialist-88
Գանձապահ` «Վանաձոր» մասնաճյուղում,Fast Credit Capital UCO CJSC,10 July 2020,Vanadzor,https://staff.am/en/ganjapah-vanajor-masnacyugum-1
Angular Developer,Viveo Health,10 July 2020,Yerevan,https://staff.am/en/angular-developer-49
Cook for Middle eastern cuisine,Partner Company,10 July 2020,Yerevan,https://staff.am/en/cook-for-middle-eastern-cuisine
Cook for Italian cuisine,Partner Company,10 July 2020,Yerevan,https://staff.am/en/cook-for-italian-cuisine
Chef For Food Delivery Service,Partner Company,10 July 2020,Yerevan,https://staff.am/en/chef-for-food-delivery-service
Junior Accountant,Triple Consulting,10 July 2020,Yerevan,https://staff.am/en/junior-accountant-14
"Senior Software Engineer, Front-End",MentorcliQ,10 July 2020,Yerevan,https://staff.am/en/senior-software-engineer-front-end-4
SENIOR SOFTWARE DEVELOPER PHP / MYSQL (M/F/D),Powerdata,10 July 2020,Yerevan,https://staff.am/en/senior-software-developer-php-mysql-mfd-1
(SENIOR) DATA/DATABASE ARCHITECT (M/F/D),Powerdata,10 July 2020,Yerevan,https://staff.am/en/senior-datadatabase-architect-mfd-9
(SENIOR) DEVOPS ENGINEER (M/F/D),Powerdata,10 July 2020,Yerevan,https://staff.am/en/senior-devops-engineer-mfd-1
(SENIOR) SOFTWARE/AWS ARCHITECT (M/F/D),Powerdata,10 July 2020,Yerevan,https://staff.am/en/senior-softwareaws-architect-mfd-1
Software Developer,UNICOMP CJSC,10 July 2020,Yerevan,https://staff.am/en/software-developer-74
Logistics-cordinator,Assets CJSC,10 July 2020,Yerevan,https://staff.am/en/logistics-cordinator-1
Import specialist,Atenk Ltd,14 July 2020,Yerevan,https://staff.am/en/import-specialist-27
 Linux/Unix Administrator,Ucom CJSC,10 July 2020,Yerevan,https://staff.am/en/linuxunix-administrator-1
 Fraud and revenue assurance analyst,Ucom CJSC,10 July 2020,Yerevan,https://staff.am/en/fraud-and-revenue-assurance-analyst-12
Technical Program Manager ,Workfront Armenia,10 July 2020,Yerevan,https://staff.am/en/technical-program-manager-4
Audit Intern,Ernst and Young CJSC (EY),09 July 2020,Yerevan,https://staff.am/en/audit-intern
Associate Product Owner,Synergy International Systems,09 July 2020,Yerevan,https://staff.am/en/associate-product-owner-1
Head of Technical (Monitoring) Support Team,Telcell CJSC,09 July 2020,Yerevan,https://staff.am/en/head-of-technical-support-team-4
Logistics Coordinator ,ArcaTrans,08 July 2020,Yerevan,https://staff.am/en/logistics-coordinator-5
Վերստուգող,ԿՐԵԴՈ ՖԻՆԱՆՍ ՈՒՎԿ ՓԲԸ,09 July 2020,Yerevan,https://staff.am/en/verstugog-3
Live Trader,Digitain ,09 July 2020,Yerevan,https://staff.am/en/live-trader
Quality Assurance Engineer,InConcept Labs,30 June 2020,Yerevan,https://staff.am/en/quality-assurance-engineer-11
Full-stack JavaScript developer,InConcept Labs,30 June 2020,Yerevan,https://staff.am/en/full-stack-javascript-developer-25
 Billing systems support specialist,VEON Armenia CJSC,09 July 2020,Yerevan,https://staff.am/en/billing-systems-support-specialist
Content and SMM Specialist,DIMARK Internet Marketing,30 June 2020,Yerevan,https://staff.am/en/content-and-smm-manager-5
Հաշվապահ,Liqvor CJSC,09 July 2020,Yerevan,https://staff.am/en/accountant-448
Innovation Strategist,FAST,09 July 2020,Yerevan,https://staff.am/en/innovation-strategist
Research Analyst,FAST,09 July 2020,Yerevan,https://staff.am/en/research-analyst-12
Operations Manager,Evolution Gaming,30 June 2020,Yerevan,https://staff.am/en/operations-manager-14
Sales manager,Garage Masters' Mall,09 July 2020,Yerevan,https://staff.am/en/sales-manager-398
Experienced .NET Developer,VOLO,03 July 2020,Yerevan,https://staff.am/en/experienced-net-developer-10
Business Risk Services Consultant / IT Auditor,Գրանթ Թորնթոն ՓԲԸ,09 July 2020,Yerevan,https://staff.am/en/business-risk-services-consultant-it-auditor
PHP Developer ,ՋՈՅՆԹՈՒՀԱՅՐ ,09 July 2020,Yerevan,https://staff.am/en/php-developer-199
DevOps Engineer,TIDEPOOL LABS,09 July 2020,Yerevan,https://staff.am/en/devops-engineer-240
Հաճախորդների սպասարկան մասնագետ,Էվրի Դեյ ՓԲԸ,09 July 2020,Yerevan,https://staff.am/en/hacaxordneri-spasarkan-masnaget
Customer Support Specialist,Digitain ,09 July 2020,Yerevan,https://staff.am/en/customer-support-specialist-85
Senior QA Engineer,Inecobank CJCS,08 July 2020,Yerevan,https://staff.am/en/senior-qa-engineer-143
Merchandiser,ԿՈՒԲ ԳՐՈՒՊ ՍՊԸ,09 July 2020,Yerevan,https://staff.am/en/merchandiser-28
Operations & Finance Manager,International Development Group LLC,30 June 2020,Yerevan,https://staff.am/en/operations-finance-manager-4
IT Business Manager,Web Projects,08 July 2020,Yerevan,https://staff.am/en/it-business-manager-10
Senior UI/UX Designer - UCRAFT,SoftConstruct,08 July 2020,Yerevan,https://staff.am/en/uiux-designer-ucraft-10
Store Manager,Swarovski Partner Store Yerevan,08 July 2020,Yerevan,https://staff.am/en/store-manager-31
Որակի կառավարման համակարգի մասնագետ,Սերտիֆիկացման միջազգային կենտրոն ՍՊԸ,08 July 2020,Yerevan,https://staff.am/en/oraki-karavarman-hamakargi-masnaget
Key Account Manager,BeSofted Group,08 July 2020,Yerevan,https://staff.am/en/key-account-manager-8
Engineer-Designer,Melinet,05 July 2020,Yerevan,https://staff.am/en/engineer-designer
UI Developer,Synergy International Systems,08 July 2020,Yerevan,https://staff.am/en/ui-developer-44
PHP developer,Rocket Systems,30 June 2020,Yerevan,https://staff.am/en/php-developer-196
WordPress Developer,Web Projects,08 July 2020,Yerevan,https://staff.am/en/wordpress-developer-83
IT Project Manager,Brainstorm Technologies,08 July 2020,Yerevan,https://staff.am/en/it-project-manager-77
Senior React.js Developer - UCRAFT,SoftConstruct,08 July 2020,Yerevan,https://staff.am/en/senior-reactjs-developer-ucraft
Շինարարության պատասխանատու,ASEDL LLC,08 July 2020,Yerevan,https://staff.am/en/sinararutyan-patasxanatu-1
IT specialist,ASEDL LLC,08 July 2020,Yerevan,https://staff.am/en/it-specialist-48
Active sales specialist,HouseNet,08 July 2020,Armavir,https://staff.am/en/active-sales-specialist-23
English Speaking IT Support Specialist,Envirotech,07 July 2020,Yerevan,https://staff.am/en/english-speaking-it-support-specialist-1
Senior React Engineer,Pangea Cloud Solutions,07 July 2020,Yerevan,https://staff.am/en/senior-react-engineer-28
Հանրային ծառայությունների և ադմինիստրատիվ աշխատանքների համակարգող,Digitain ,06 July 2020,Yerevan,https://staff.am/en/hanrayin-carayutyunneri-ev-administrativ-asxatankneri-hamakargog
Marketing and communications manager,Out Of Office Design,06 July 2020,Yerevan,https://staff.am/en/marketing-and-communications-manager
Agile Project Manager ,Intelligent Digital Technologies,06 July 2020,Yerevan,https://staff.am/en/agile-project-manager-7
Լեռնային և շինարարական տեխնիկայի սպասարկման և վերանորոգման մասնագետի (մեխանիկ),«ԻԿՕ Մաշիների» ՍՊԸ,05 July 2020,Yerevan,https://staff.am/en/lernayin-ev-sinararakan-texnikayi-spasarkman-ev-veranorogman-masnageti-mexanik
"Senior DevOps Engineer, Financial Software Solutions",DataArt Armenia,30 June 2020,Yerevan,https://staff.am/en/senior-devops-engineer-financial-software-solutions-4
NetSuite Architect,DataArt Armenia,30 June 2020,Yerevan,https://staff.am/en/netsuite-architect-4
Node.js Developer ,ՋՈՅՆԹՈՒՀԱՅՐ ,05 July 2020,Yerevan,https://staff.am/en/nodejs-developer-72
NetSuite Senior Developer,DataArt Armenia,30 June 2020,Yerevan,https://staff.am/en/netsuite-senior-developer
Civil Engineer/ AutoCAD Master ,AAB Construction,05 July 2020,Yerevan,https://staff.am/en/civil-engineer-autocad-master
SALES AND MARKETING ASSOCIATE,WineWorks,05 July 2020,Yerevan,https://staff.am/en/sales-and-marketing-associate
Android Developer,IYC technologies,05 July 2020,Yerevan,https://staff.am/en/android-developer-239
Head of digital marketing department,ALPHA FOOD SERVICE LLC,05 July 2020,Yerevan,https://staff.am/en/head-of-digital-marketing-department-4
Mid/Senior C# developer,Digitain ,01 July 2020,Yerevan,https://staff.am/en/midsenior-c-developer-37
Senior C# .Net/.Net Core Developer,Soft Vision LLC,05 July 2020,Yerevan,https://staff.am/en/senior-c-netnet-core-developer
Project Manager Assistant/Civil Engineer ,AAB Construction,05 July 2020,Yerevan,https://staff.am/en/project-manager-assistant-7
Senior UI/UX Designer,Webb Fontaine Holding LLC,05 July 2020,Yerevan,https://staff.am/en/senior-uiux-designer-45
Head of Excellence Center,Webb Fontaine Holding LLC,05 July 2020,Yerevan,https://staff.am/en/head-of-excellence-center
Վաճառքի օպերատոր,Մեգնա ՍՊԸ,05 July 2020,Yerevan,https://staff.am/en/vacarki-operator-3
HR specialst,Telecom,05 July 2020,Yerevan,https://staff.am/en/hr-specialst-1
Ավտոմատ համակարգերի շահագործման մասնագետ/ էլեկտրոնշիկ,Armenian Tobacco Company,05 July 2020,Abovyan,https://staff.am/en/avtomat-hamakargeri-sahagorcman-masnaget-elektronsik-6
Marketing Manager ,Lesona ,30 June 2020,Yerevan,https://staff.am/en/marketing-manager-127
Sales Manager,alvard vardanyan ltd,05 July 2020,Yerevan,https://staff.am/en/sales-manager-397
