Title,Company,Deadline,Location,Link
Senior Customer Support Representative,DISQO,23 July 2020,Yerevan,https://staff.am/en/senior-customer-support-representative
Senior Java Engineer,DISQO,23 July 2020,Yerevan,https://staff.am/en/senior-java-engineer-6
Survey Programmer,DISQO,23 July 2020,Yerevan,https://staff.am/en/survey-programmer
Junior Full Stack Web Engineer (m/f/d) Remote Management,TeamViewer Armenia,23 July 2020,Yerevan,https://staff.am/en/junior-full-stack-web-engineer-mfd-remote-management-1
Խնդրահարույց ակտիվների հետ աշխատանքի ստորաբաժանման աշխատակից,ԿՐԵԴՈ ՖԻՆԱՆՍ ՈՒՎԿ ՓԲԸ,23 July 2020,Yerevan,https://staff.am/en/xndraharuyc-aktivneri-het-asxatanki-storabazanman-asxatakic
(Senior) Software Engineer (m/f/d) with focus on Security,TeamViewer Armenia,23 July 2020,Yerevan,https://staff.am/en/senior-software-engineer-mfd-with-focus-on-security-9
Վաճառքի մասնագետ,Autofan,23 July 2020,Yerevan,https://staff.am/en/vacarki-masnaget-48
Full Stack Web Developer,WIC WorldCom International ,23 July 2020,Yerevan,https://staff.am/en/full-stack-web-developer-92
IT Project Manager (Programmer),Partner Company,23 July 2020,Yerevan,https://staff.am/en/it-project-manager-83
Accountant,Epiroc Armenia LLC,01 July 2020,Yerevan,https://staff.am/en/accountant-461
Technical Content Developer,National Instruments AM LLC,23 July 2020,Yerevan,https://staff.am/en/content-developer-4
Marketing Specialist,Synergy International Systems,23 July 2020,Yerevan,https://staff.am/en/marketing-specialist-215
Senior .NET Developer,BlueNet,23 July 2020,Yerevan,https://staff.am/en/senior-net-developer-159
Head of Marketing Department,ԶՈԼՈՏՈԵ ՊՈԼԵ ՍՊԸ,23 July 2020,Yerevan,https://staff.am/en/head-of-marketing-department-21
Web Backend Developer,Codics Software Producers,14 July 2020,Yerevan,https://staff.am/en/web-backend-developer-14
Web Frontend Developer,Codics Software Producers,14 July 2020,Yerevan,https://staff.am/en/web-frontend-developer-11
Լոգիստ-մենեջեր,Ֆասթ ՍՊԸ,23 July 2020,Yerevan,https://staff.am/en/logist-menejer-37
